Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
20080	20	0.00	0	-0.38	30.10	0	0	0	0	0	0	
20136	20	0.00	0	-0.03	30.20	0	0	0	0	0	0	
20191	20	0.00	0	-0.21	30.20	0	0	0	0	0	0	
20249	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
20304	20	0.00	0	0.41	30.20	0	0	0	0	0	0	
20359	20	0.00	0	0.15	30.20	0	0	0	0	0	0	
20414	20	0.00	0	0.06	30.20	0	0	0	0	0	0	
20469	20	0.00	0	0.33	30.20	0	0	0	0	0	0	
20524	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
20582	20	0.00	0	0.06	30.20	0	0	0	0	0	0	
20637	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
20693	20	0.00	0	0.15	30.20	0	0	0	0	0	0	
20750	20	0.00	0	0.41	30.20	0	0	0	0	0	0	
20805	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
20864	20	0.00	0	0.24	30.20	0	0	0	0	0	0	
20919	20	0.00	0	-0.03	30.20	0	0	0	0	0	0	
20973	20	0.00	0	0.15	30.20	0	0	0	0	0	0	
21029	20	0.00	0	-0.29	30.20	0	0	0	0	0	0	
21084	20	0.00	0	-0.03	30.20	0	0	0	0	0	0	
21139	20	0.00	0	-0.64	30.20	0	0	0	0	0	0	
21198	20	0.00	0	-0.21	30.20	0	0	0	0	0	0	
21253	20	0.00	0	0.68	30.20	0	0	0	0	0	0	
21307	20	0.00	0	-0.29	30.20	0	0	0	0	0	0	
21362	20	0.00	0	-0.21	30.20	0	0	0	0	0	0	
21418	20	0.00	0	-0.03	30.20	0	0	0	0	0	0	
21475	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
21533	20	0.00	0	-0.29	30.20	0	0	0	0	0	0	
21589	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
21643	20	0.00	0	-0.12	30.20	0	0	0	0	0	0	
21698	20	0.00	0	-0.38	30.20	0	0	0	0	0	0	
21754	20	0.00	0	-0.64	30.20	0	0	0	0	0	0	
21808	20	0.00	0	-0.38	30.20	0	0	0	0	0	0	
21866	20	0.00	0	0.06	30.20	0	0	0	0	0	0	
21921	20	0.00	0	0.24	30.20	0	0	0	0	0	0	
21976	20	0.00	0	0.24	30.20	0	0	0	0	0	0	
22031	20	0.00	0	-0.03	30.20	0	0	0	0	0	0	
22086	20	0.00	0	-0.21	30.20	0	0	0	0	0	0	
22154	20	0.00	0	0.41	30.20	0	0	0	0	0	0	
22209	20	0.00	0	0.24	30.20	0	0	0	0	0	0	
22264	20	0.00	0	0.50	30.20	0	0	0	0	0	0	
22318	20	0.00	0	0.15	30.20	0	0	0	0	0	0	
22373	20	0.00	0	0.33	30.20	0	0	0	0	0	0	
22431	20	0.00	0	0.06	30.20	0	0	0	0	0	0	
22486	20	0.00	0	0.15	30.20	0	0	0	0	0	0	
22540	20	0.00	0	0.15	30.20	0	0	0	0	0	0	
22595	20	0.00	0	0.41	30.20	0	0	0	0	0	0	
22650	20	0.00	0	0.59	30.20	0	0	0	0	0	0	
22705	20	0.00	0	0.50	30.20	0	0	0	0	0	0	
22762	20	0.00	0	0.77	30.20	0	0	0	0	0	0	
22816	20	0.00	0	0.86	30.20	0	0	0	0	0	0	
22874	20	0.00	0	0.33	30.20	0	0	0	0	0	0	
22929	20	0.00	0	0.59	30.20	0	0	0	0	0	0	
22983	20	0.00	0	0.68	30.20	0	0	0	0	0	0	
