Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
11352	20	0.00	0	-0.51	28.20	1	-7	1	-114	-580	357	
11413	20	0.00	0	-0.51	28.20	1	-7	1	-192	-358	150	
11474	20	0.00	0	-0.15	28.20	1	-7	1	-323	89	-113	
11531	20	0.00	0	-0.42	28.20	1	-7	1	-393	304	-140	
11588	20	0.00	0	-0.51	28.20	1	-7	1	-366	112	8	
11646	20	0.00	0	-0.06	28.20	1	-7	1	-208	-298	175	
11707	20	0.00	0	-0.06	28.20	1	-7	1	-60	-566	277	
11765	20	0.00	0	0.20	28.20	1	-7	1	-98	-463	247	
11822	20	0.00	0	0.03	28.20	1	-7	1	-309	27	123	
11879	20	0.00	0	-0.06	28.20	1	-7	1	-466	244	-23	
11938	20	0.00	0	-0.06	28.20	1	-7	1	-355	219	-111	
11995	20	0.00	0	-0.33	28.20	1	-7	1	-161	-106	-58	
12056	20	0.00	0	0.20	28.20	1	-7	1	-70	-367	180	
12116	20	0.00	0	-0.06	28.20	1	-7	1	-152	-430	308	
12173	20	0.00	0	0.20	28.20	1	-7	1	-279	-190	276	
12231	20	0.00	0	0.12	28.20	1	-7	1	-310	-106	40	
12288	20	0.00	0	0.12	28.20	1	-7	1	-234	194	-135	
12346	20	0.00	0	-0.06	28.20	1	-7	1	-251	187	-95	
12407	20	0.00	0	-0.06	28.20	1	-7	1	-254	-49	115	
12465	20	0.00	0	0.38	28.20	1	-7	1	-281	-352	319	
12522	20	0.00	0	0.29	28.20	1	-7	1	-198	-408	305	
12580	20	0.00	0	-0.15	28.20	1	-7	1	-90	-253	122	
12637	20	0.00	0	-0.15	28.20	1	-7	1	-201	21	-75	
12701	20	0.00	0	0.20	28.20	1	-7	1	-357	287	-88	
12758	20	0.00	0	-0.24	28.20	1	-7	1	-390	-6	62	
12815	20	0.00	0	-0.15	28.20	1	-7	1	-305	-116	213	
12873	20	0.00	0	-0.24	28.20	1	-7	1	-114	-436	245	
12931	20	0.00	0	-0.24	28.20	1	-7	1	-70	-406	182	
12988	20	0.00	0	-0.24	28.20	1	-7	1	-203	-87	75	
13050	20	0.00	0	-0.15	28.20	1	-7	1	-396	118	-9	
13107	20	0.00	0	-0.24	28.20	1	-7	1	-422	127	-34	
13164	20	0.00	0	-0.15	28.20	1	-7	1	-247	-43	73	
13222	20	0.00	0	-0.24	28.20	1	-7	1	-135	-95	195	
13279	20	0.00	0	-0.24	28.20	1	-7	1	-101	-392	236	
13340	20	0.00	0	-0.86	28.20	1	-7	1	-235	-155	199	
13401	20	0.00	0	-0.51	28.20	1	-7	1	-299	-96	79	
13458	20	0.00	0	-0.51	28.20	1	-7	1	-354	102	-10	
13516	20	0.00	0	-0.51	28.20	1	-7	1	-284	60	-30	
13573	20	0.00	0	-0.68	28.20	1	-7	1	-193	-142	70	
13630	20	0.00	0	-0.33	28.20	1	-7	1	-190	-276	175	
13688	20	0.00	0	0.03	28.20	1	-7	1	-191	-262	232	
13749	20	0.00	0	0.03	28.20	1	-7	1	-258	-139	122	
13806	20	0.00	0	0.29	28.20	1	-7	1	-304	-92	3	
13864	20	0.00	0	-0.15	28.20	1	-7	1	-340	95	-23	
13924	20	0.00	0	0.03	28.20	1	-7	1	-243	61	43	
13982	20	0.00	0	0.20	28.20	1	-7	1	-224	-130	159	
14043	20	0.00	0	-0.33	28.20	1	-7	1	-181	-256	193	
14100	20	0.00	0	-0.33	28.20	1	-7	1	-204	-359	189	
14158	20	0.00	0	0.38	28.20	1	-7	1	-269	-27	132	
14215	20	0.00	0	0.20	28.20	1	-7	1	-268	164	2	
14272	20	0.00	0	0.38	28.20	1	-7	1	-256	-5	20	
14330	20	0.00	0	-0.06	28.20	1	-7	1	-228	15	96	
14391	20	0.00	0	0.38	28.20	1	-7	1	-237	-155	195	
14449	20	0.00	0	0.47	28.20	1	-7	1	-235	-208	225	
14506	20	0.00	0	0.20	28.20	1	-7	1	-258	-129	102	
14566	20	0.00	0	0.82	28.20	1	-7	1	-223	-22	30	
14624	20	0.00	0	0.47	28.30	1	-7	1	-277	59	-11	
14681	20	0.00	0	0.12	28.20	1	-7	1	-273	-14	38	
14741	20	0.00	0	0.38	28.20	1	-7	1	-291	-44	128	
14800	20	0.00	0	0.03	28.20	1	-7	1	-206	-428	174	
14857	20	0.00	0	0.38	28.30	1	-7	1	-221	-52	97	
14914	20	0.00	0	0.12	28.20	1	-7	1	-103	-456	110	
14972	20	0.00	0	0.20	28.20	1	-7	1	-292	378	-40	
15029	20	0.00	0	0.03	28.30	1	-7	1	-292	-509	8	
15091	20	0.00	0	0.73	28.20	1	-7	1	-342	491	94	
15148	20	0.00	0	0.38	28.30	1	-7	1	-219	29	146	
15207	20	0.00	0	0.12	28.30	1	-7	1	-97	-663	244	
15265	20	0.00	0	0.20	28.30	1	-7	1	-205	-102	162	
15322	20	0.00	0	0.03	28.20	1	-7	1	-248	-312	118	
15383	20	0.00	0	0.73	28.30	1	-7	1	-382	275	-4	
15441	20	0.00	0	0.20	28.20	1	-7	1	-357	97	-17	
15498	20	0.00	0	0.03	28.30	1	-7	1	-223	-154	16	
15555	20	0.00	0	1.09	28.30	1	-7	1	-153	-225	126	
15613	20	0.00	0	0.73	28.30	1	-7	1	-159	-748	188	
15671	20	0.00	0	0.20	28.30	1	-7	1	-308	-45	186	
15732	20	0.00	0	0.20	28.30	1	-7	1	-316	-141	109	
15792	20	0.00	0	0.29	28.30	1	-7	1	-311	-47	-78	
15849	20	0.00	0	-0.06	28.30	1	-7	1	-198	-54	-47	
15907	20	0.00	0	-0.06	28.30	1	-7	1	-207	-164	84	
15964	20	0.00	0	0.03	28.30	1	-7	1	-230	-399	223	
16021	20	0.00	0	0.12	28.30	1	-7	1	-289	-83	204	
16083	20	0.00	0	0.20	28.30	1	-7	1	-283	-339	103	
16140	20	0.00	0	0.73	28.30	1	-7	1	-227	-183	-42	
16198	20	0.00	0	0.29	28.30	1	-7	1	-237	119	-157	
16256	20	0.00	0	-0.42	28.30	1	-7	1	-168	-609	52	
16313	20	0.00	0	0.29	28.30	1	-7	1	-375	394	77	
16371	20	0.00	0	0.29	28.30	1	-7	1	-235	-509	335	
16434	20	0.00	0	0.20	28.30	1	-7	1	-267	77	92	
16491	20	0.00	0	0.47	28.30	1	-7	1	-116	-381	44	
16549	20	0.00	0	0.73	28.30	1	-7	1	-205	160	-9	
16606	20	0.00	0	0.38	28.30	1	-7	1	-269	-167	-11	
16663	20	0.00	0	0.12	28.30	1	-7	1	-273	-545	54	
16725	20	0.00	0	0.47	28.30	1	-7	1	-325	391	189	
16782	20	0.00	0	0.29	28.30	1	-7	1	-168	-668	187	
16840	20	0.00	0	0.29	28.30	1	-7	1	-204	89	63	
16897	20	0.00	0	-0.33	28.30	1	-7	1	-186	-256	58	
16954	20	0.00	0	0.20	28.30	1	-7	1	-357	210	27	
17012	20	0.00	0	0.29	28.30	1	-7	1	-313	-158	88	
17071	20	0.00	0	0.29	28.30	1	-7	1	-205	-362	159	
17128	20	0.00	0	-0.24	28.30	1	-7	1	-186	32	98	
17186	20	0.00	0	0.12	28.30	1	-7	1	-119	-522	181	
17244	20	0.00	0	0.38	28.30	1	-7	1	-290	224	54	
17301	20	0.00	0	-0.33	28.30	1	-7	1	-285	-326	101	
17359	20	0.00	0	0.20	28.30	1	-7	1	-324	493	-3	
17420	20	0.00	0	-0.15	28.30	1	-7	1	-210	-434	71	
17478	20	0.00	0	0.12	28.30	1	-7	1	-174	8	110	
17535	20	0.00	0	-0.24	28.30	1	-7	1	-199	-191	175	
17592	20	0.00	0	-0.33	28.30	1	-7	1	-273	-186	146	
17652	20	0.00	0	0.12	28.30	1	-7	1	-292	-97	85	
17709	20	0.00	0	0.29	28.30	1	-7	1	-258	80	52	
17770	20	0.00	0	0.20	28.30	1	-7	1	-198	-116	64	
17828	20	0.00	0	-0.15	28.30	1	-7	1	-185	-225	132	
17885	20	0.00	0	0.47	28.30	1	-7	1	-266	27	132	
17943	20	0.00	0	0.73	28.30	1	-7	1	-228	-534	98	
18001	20	0.00	0	0.47	28.30	1	-7	1	-240	112	47	
18058	20	0.00	0	0.82	28.30	1	-7	1	-260	-201	126	
18120	20	0.00	0	0.38	28.30	1	-7	1	-252	288	205	
18177	20	0.00	0	0.12	28.30	1	-7	1	-241	67	156	
18234	20	0.00	0	0.20	28.30	1	-7	1	-162	-270	36	
18294	20	0.00	0	0.47	28.30	1	-7	1	-233	-39	39	
18351	20	0.00	0	0.29	28.30	1	-7	1	-288	76	152	
18412	20	0.00	0	-0.15	28.30	1	-7	1	-264	-212	148	
18470	20	0.00	0	0.29	28.30	1	-7	1	-261	-11	122	
18527	20	0.00	0	0.03	28.30	1	-7	1	-143	-566	149	
18584	20	0.00	0	-0.06	28.30	1	-7	1	-241	111	53	
18642	20	0.00	0	0.03	28.30	1	-7	1	-227	-244	82	
18700	20	0.00	0	-0.06	28.30	1	-7	1	-369	252	16	
18761	20	0.00	0	-0.15	28.30	1	-7	1	-250	-237	102	
18819	20	0.00	0	0.20	28.30	1	-7	1	-255	59	75	
18878	20	0.00	0	-0.15	28.30	1	-7	1	-166	-391	172	
18936	20	0.00	0	-0.33	28.30	1	-7	1	-202	34	169	
18993	20	0.00	0	-0.59	28.30	1	-7	1	-299	-129	52	
19050	20	0.00	0	-0.06	28.30	1	-7	1	-297	-293	73	
19112	20	0.00	0	0.20	28.30	1	-7	1	-305	470	14	
19168	20	0.00	0	0.29	28.30	1	-7	1	-170	-231	138	
19225	20	0.00	0	0.03	28.30	2	-7	0	-263	1534	452	
19283	20	0.00	0	0.38	28.30	1	-7	1	-175	-828	137	
19340	20	0.00	0	0.12	28.30	1	-7	1	-297	-21	41	
19398	20	0.00	0	0.20	28.30	1	-7	1	-271	-240	86	
19459	20	0.00	0	0.38	28.30	1	-7	1	-281	-42	116	
19527	20	0.00	0	0.73	28.30	1	-7	1	-279	58	8	
19583	20	0.00	0	0.20	28.30	1	-7	1	-191	-550	155	
19640	20	0.00	0	0.38	28.30	1	-7	1	-261	65	85	
19702	20	0.00	0	0.47	28.30	1	-7	1	-189	-439	104	
19759	20	0.00	0	0.20	28.30	1	-7	1	-292	208	4	
19816	20	0.00	0	0.03	28.30	1	-7	1	-229	-449	92	
19874	20	0.00	0	0.73	28.30	1	-7	1	-314	264	43	
19931	20	0.00	0	0.20	28.30	1	-7	1	-246	-59	85	
19988	20	0.00	0	-0.24	28.30	1	-7	1	-293	-36	98	
20049	20	0.00	0	0.03	28.30	1	-7	1	-247	-225	162	
20106	20	0.00	0	0.20	28.30	1	-7	1	-228	6	59	
20167	20	0.00	0	0.47	28.30	1	-7	1	-180	-46	106	
20224	20	0.00	0	0.29	28.30	1	-7	1	-284	36	40	
20281	20	0.00	0	0.73	28.30	1	-7	1	-259	-253	125	
20339	20	0.00	0	0.12	28.30	1	-7	1	-239	-273	106	
20399	20	0.00	0	-0.24	28.30	1	-7	1	-187	-70	133	
20456	20	0.00	0	-0.15	28.30	1	-7	1	-245	12	33	
20515	20	0.00	0	0.12	28.30	1	-7	1	-282	-559	91	
20572	20	0.00	0	0.03	28.30	1	-7	1	-334	-76	47	
20629	20	0.00	0	-0.15	28.30	1	-7	1	-237	-237	47	
20687	20	0.00	0	-0.33	28.30	1	-7	1	-152	-217	91	
20747	20	0.00	0	0.38	28.30	1	-7	1	-141	-265	101	
20808	20	0.00	0	-0.24	28.30	1	-7	1	-362	302	141	
20865	20	0.00	0	0.12	28.30	1	-7	1	-268	-489	175	
20922	20	0.00	0	0.12	28.30	1	-7	1	-335	382	-49	
20980	20	0.00	0	0.20	28.30	1	-7	1	-115	-701	41	
21041	20	0.00	0	0.12	28.30	1	-7	1	-227	305	65	
21098	20	0.00	0	0.47	28.30	1	-7	1	-218	-530	219	
21156	20	0.00	0	-0.42	28.30	1	-7	1	-325	-16	128	
21213	20	0.00	0	-0.33	28.30	1	-7	1	-247	12	122	
21270	20	0.00	0	0.29	28.30	1	-7	1	-223	-239	47	
21328	20	0.00	0	0.03	28.30	1	-7	1	-287	67	27	
21391	20	0.00	0	0.20	28.30	1	-7	1	-253	-116	100	
21449	20	0.00	0	-0.15	28.30	1	-7	1	-235	-69	147	
21506	20	0.00	0	-0.24	28.30	1	-7	1	-216	-105	159	
21563	20	0.00	0	0.38	28.30	1	-7	1	-203	-410	109	
21622	20	0.00	0	-0.06	28.30	1	-7	1	-243	-117	94	
21679	20	0.00	0	0.12	28.30	1	-7	1	-300	79	72	
21739	20	0.00	0	0.12	28.30	1	-7	1	-293	26	9	
21797	20	0.00	0	1.00	28.30	1	-7	1	-243	-149	84	
21854	20	0.00	0	0.38	28.30	1	-7	1	-227	-102	120	
21911	20	0.00	0	1.35	28.30	1	-7	1	-174	-260	115	
21969	20	0.00	0	0.82	28.30	1	-7	1	-202	53	40	
22032	20	0.00	0	0.73	28.30	1	-7	1	-260	147	124	
22090	20	0.00	0	0.82	28.30	1	-7	1	-323	377	110	
22147	20	0.00	0	0.29	28.30	1	-7	1	-249	-168	136	
22204	20	0.00	0	0.38	28.40	1	-7	1	-250	264	97	
22262	20	0.00	0	-0.06	28.30	1	-7	1	-191	-196	115	
22320	20	0.00	0	0.47	28.40	1	-7	1	-139	-521	211	
22380	20	0.00	0	0.29	28.40	1	-7	1	-361	845	16	
22438	20	0.00	0	0.29	28.40	1	-7	1	-178	-874	193	
