Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
35324	20	0.00	2	2.09	29.80	0	-7	0	-274	-290	-14	
35439	20	0.00	1	1.56	29.80	0	-8	0	-257	-260	-20	
35546	20	0.00	1	2.17	29.80	0	-7	0	-254	-250	33	
35654	20	0.00	1	1.91	29.80	0	-8	0	-300	-373	-28	
35762	20	0.00	1	2.00	29.80	0	-8	0	-300	-334	-48	
35870	20	0.00	1	2.00	29.80	0	-8	0	-222	-314	-24	
35978	20	0.00	1	1.74	29.80	0	-8	0	-281	-166	21	
36087	20	0.00	1	1.56	29.80	0	-7	0	-309	-217	-19	
36195	20	0.00	1	1.83	29.80	0	-8	0	-222	-142	-1	
36303	20	0.00	1	1.74	29.80	0	-7	0	-243	-90	97	
36456	20	0.00	1	2.09	29.80	0	-7	0	-207	-189	26	
36569	20	0.00	1	2.09	29.80	0	-8	0	-209	-438	-106	
36677	20	0.00	1	2.26	29.80	0	-8	0	-285	-577	-108	
36784	20	0.00	1	2.00	29.80	0	-7	0	-246	-67	49	
36893	20	0.00	2	2.44	29.80	0	-7	0	-244	-95	119	
37001	20	0.00	2	2.52	29.80	0	-7	0	-355	-120	12	
37109	20	0.00	2	1.83	29.80	0	-8	0	-190	-450	-155	
37218	20	0.00	2	2.61	29.80	0	-7	0	-173	-577	-155	
37325	20	0.00	2	2.00	29.80	0	-8	0	-289	-477	-87	
37434	20	0.00	2	2.09	29.80	0	-7	0	-383	-111	85	
37542	20	0.00	2	2.78	29.80	0	-8	0	-216	-251	16	
37650	20	0.00	2	2.52	29.80	0	-8	0	-187	-435	-115	
37764	20	0.00	2	2.09	29.80	0	-8	0	-276	-207	-28	
37872	20	0.00	2	3.05	29.80	0	-8	0	-232	-74	117	
37980	20	0.00	2	1.83	29.80	0	-8	0	-258	-29	63	
38088	20	0.00	2	1.83	29.80	0	-7	0	-269	-374	-39	
38196	20	0.00	2	2.00	29.80	0	-7	0	-301	-471	-39	
38305	20	0.00	2	2.00	29.80	0	-8	0	-242	-440	-25	
38413	20	0.00	2	2.17	29.80	0	-8	0	-281	-216	-31	
38521	20	0.00	2	2.35	29.80	0	-8	0	-270	-293	-5	
38629	20	0.00	2	2.00	29.80	0	-7	0	-235	-112	13	
38737	20	0.00	2	1.91	29.80	0	-7	0	-271	110	24	
38853	20	0.00	2	2.35	29.90	0	-8	0	-234	-214	-12	
38960	20	0.00	2	2.61	29.80	0	-8	0	-236	-533	-71	
39068	20	0.00	2	2.61	29.80	0	-8	0	-254	-306	-56	
39176	20	0.00	2	2.44	29.80	0	-8	0	-218	-320	-12	
39284	20	0.00	2	1.91	29.90	0	-8	0	-297	-175	-13	
39392	20	0.00	2	2.87	29.80	0	-8	0	-243	-280	-28	
39501	20	0.00	2	2.44	29.80	0	-8	0	-216	-243	-43	
39609	20	0.00	2	1.83	29.80	0	-8	0	-295	-306	-7	
39717	20	0.00	2	2.00	29.80	0	-8	0	-229	-266	-56	
39826	20	0.00	2	1.91	29.80	0	-8	0	-188	-360	-98	
39933	20	0.00	2	1.74	29.90	0	-8	0	-308	-459	-50	
40048	20	0.00	2	2.52	29.90	0	-8	0	-243	-271	35	
40155	20	0.00	2	2.17	29.80	0	-8	0	-231	-137	-37	
40264	20	0.00	2	2.35	29.80	0	-7	0	-268	-220	-6	
40371	20	0.00	2	2.44	29.80	0	-8	0	-315	-104	45	
40480	20	0.00	2	1.83	29.90	0	-8	0	-196	-134	39	
40589	20	0.00	2	2.35	29.90	0	-8	0	-269	-258	-28	
40696	20	0.00	2	1.74	29.80	0	-8	0	-282	-458	-87	
40805	20	0.00	2	2.44	29.90	0	-8	0	-241	-250	-16	
40912	20	0.00	2	2.35	29.90	0	-8	0	-232	52	151	
41022	20	0.00	2	2.26	29.90	0	-8	0	-314	-44	55	
41152	20	0.00	2	2.35	29.90	0	-8	0	-242	-488	-204	
41258	20	0.00	2	2.09	29.90	0	-8	0	-224	-541	-102	
41367	20	0.00	2	2.09	29.90	0	-8	0	-308	-162	111	
41475	20	0.00	2	2.26	29.80	0	-8	0	-226	-281	73	
41583	20	0.00	2	2.26	29.80	0	-8	0	-222	-538	-218	
41691	20	0.00	2	2.44	29.90	0	-8	0	-252	-549	-148	
41800	20	0.00	2	2.44	29.90	0	-8	0	-253	18	153	
41907	20	0.00	2	2.52	29.90	0	-8	0	-315	-60	188	
42016	20	0.00	2	2.00	29.90	0	-7	0	-260	-476	-138	
42123	20	0.00	2	2.17	29.90	0	-8	0	-182	-716	-253	
42232	20	0.00	2	1.91	29.90	0	-7	0	-405	-355	208	
42347	20	0.00	2	2.44	29.90	0	-7	0	-217	554	267	
42454	20	0.00	2	2.52	29.90	0	-7	0	-325	-541	-173	
