Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
33852	20	0.00	0	0.27	21.10	0	7	0	-248	-249	-32	
33962	20	0.00	0	0.18	21.10	0	7	0	-226	-229	-1	
34072	20	0.00	0	0.53	21.10	0	7	0	-229	-223	-17	
34181	20	0.00	0	0.36	21.10	0	7	0	-242	-242	3	
34292	20	0.00	0	-0.60	21.10	0	7	0	-237	-208	-12	
34402	20	0.00	0	-0.25	21.10	0	7	0	-205	-194	-18	
34513	20	0.00	0	0.10	21.10	0	7	0	-254	-231	-37	
34675	20	0.00	0	-0.43	21.10	0	7	0	-220	-194	-22	
34793	20	0.00	0	-0.34	21.10	0	7	0	-242	-234	-6	
34903	20	0.00	0	-0.34	21.10	0	7	0	-238	-210	-25	
35014	20	0.00	0	-0.17	21.10	0	7	0	-254	-276	-12	
35125	20	0.00	0	-0.25	21.10	0	7	0	-236	-231	-20	
35236	20	0.00	0	-0.34	21.10	0	7	0	-234	-290	0	
35348	20	0.00	0	-0.17	21.10	0	7	0	-254	-290	-5	
35459	20	0.00	0	-0.17	21.10	0	7	0	-222	-238	-39	
35570	20	0.00	0	-0.08	21.10	0	7	0	-241	-233	34	
35680	20	0.00	0	0.27	21.10	0	7	0	-233	-171	0	
35791	20	0.00	0	-0.34	21.10	0	7	0	-218	-178	-30	
35908	20	0.00	0	-0.52	21.10	0	7	0	-227	-280	-13	
36019	20	0.00	0	-0.52	21.10	0	7	0	-230	-297	-12	
36130	20	0.00	0	-0.17	21.10	0	7	0	-234	-277	-1	
36241	20	0.00	0	-0.69	21.10	0	7	0	-204	-253	-19	
36352	20	0.00	0	-0.60	21.10	0	7	0	-224	-226	-8	
36463	20	0.00	0	0.18	21.10	0	7	0	-240	-302	-9	
36572	20	0.00	0	0.01	21.10	0	7	0	-248	-280	-32	
36683	20	0.00	0	-0.25	21.10	0	7	0	-211	-202	-27	
36793	20	0.00	0	-0.08	21.10	0	7	0	-249	-234	-10	
36904	20	0.00	0	0.27	21.10	0	7	0	-222	-275	18	
37015	20	0.00	0	-0.34	21.10	0	7	0	-226	-241	-31	
37132	20	0.00	0	0.62	21.10	0	7	0	-221	-261	-15	
37242	20	0.00	0	-0.69	21.10	0	7	0	-234	-221	-27	
37354	20	0.00	0	0.10	21.10	0	7	0	-206	-209	-36	
37463	20	0.00	0	-0.43	21.10	0	7	0	-245	-246	-3	
37574	20	0.00	0	0.45	21.10	0	7	0	-238	-360	-13	
37684	20	0.00	0	-0.34	21.10	0	7	0	-226	-292	-22	
37795	20	0.00	0	0.01	21.10	0	7	0	-216	-304	0	
37904	20	0.00	0	-0.25	21.10	0	7	0	-256	-249	-29	
38016	20	0.00	0	-0.25	21.10	0	7	0	-209	-275	-33	
38127	20	0.00	0	0.01	21.10	0	7	0	-222	-187	-11	
38243	20	0.00	0	-0.69	21.10	0	7	0	-255	-289	-9	
